launch_date,return_date,launch_date_clean,return_date_clean,launch_date2,return_date2,neg,launch_date_rev,return_date_rev
"June 5, 1980, 14:19:30 UTC","June 9, 1980, 12:39:00 UTC","June 5, 1980, 14:19:30","June 9, 1980, 12:39:00",329062770,329402340,FALSE,1980-06-05T14:19:30Z,1980-06-09T12:39:00Z
"March 3, 1969, 16:00:00 UTC","March 13, 1969, 17:00:54 UTC","March 3, 1969, 16:00:00","March 13, 1969, 17:00:54",-26208000,-25340346,FALSE,1969-03-03T16:00:00Z,1969-03-13T17:00:54Z
"March 3, 1969, 16:00:00 UTC","March 13, 1969, 17:00:54 UTC","March 3, 1969, 16:00:00","March 13, 1969, 17:00:54",-26208000,-25340346,FALSE,1969-03-03T16:00:00Z,1969-03-13T17:00:54Z
"March 3, 1969, 16:00:00 UTC","March 13, 1969, 17:00:54 UTC","March 3, 1969, 16:00:00","March 13, 1969, 17:00:54",-26208000,-25340346,FALSE,1969-03-03T16:00:00Z,1969-03-13T17:00:54Z
"March 16, 1966, 16:41:02 UTC","March 17, 1966, 03:22:28 UTC","March 16, 1966, 16:41:02","March 17, 1966, 03:22:28",-119776738,-119738252,FALSE,1966-03-16T16:41:02Z,1966-03-17T03:22:28Z
"March 16, 1966, 16:41:02 UTC","March 17, 1966, 03:22:28 UTC","March 16, 1966, 16:41:02","March 17, 1966, 03:22:28",-119776738,-119738252,FALSE,1966-03-16T16:41:02Z,1966-03-17T03:22:28Z
"March 13, 1989, 14:57:00 UTC","March 18, 1989, 14:35:50 UTC","March 13, 1989, 14:57:00","March 18, 1989, 14:35:50",605804220,606234950,FALSE,1989-03-13T14:57:00Z,1989-03-18T14:35:50Z
"March 13, 1989, 14:57:00 UTC","March 18, 1989, 14:35:50 UTC","March 13, 1989, 14:57:00","March 18, 1989, 14:35:50",605804220,606234950,FALSE,1989-03-13T14:57:00Z,1989-03-18T14:35:50Z
"March 13, 1989, 14:57:00 UTC","March 18, 1989, 14:35:50 UTC","March 13, 1989, 14:57:00","March 18, 1989, 14:35:50",605804220,606234950,FALSE,1989-03-13T14:57:00Z,1989-03-18T14:35:50Z
"March 13, 1989, 14:57:00 UTC","March 18, 1989, 14:35:50 UTC","March 13, 1989, 14:57:00","March 18, 1989, 14:35:50",605804220,606234950,FALSE,1989-03-13T14:57:00Z,1989-03-18T14:35:50Z
"March 13, 1989, 14:57:00 UTC","March 18, 1989, 14:35:50 UTC","March 13, 1989, 14:57:00","March 18, 1989, 14:35:50",605804220,606234950,FALSE,1989-03-13T14:57:00Z,1989-03-18T14:35:50Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"March 2, 1995, 06:38:13 UTC","March 18, 1995, 21:47:01 UTC","March 2, 1995, 06:38:13","March 18, 1995, 21:47:01",794126293,795563221,FALSE,1995-03-02T06:38:13Z,1995-03-18T21:47:01Z
"September 30, 2009, 07:14:45 UTC","March 18, 2010, 11:24 UTC","September 30, 2009, 07:14:45","March 18, 2010, 11:24",1254294885,1584526284,FALSE,2009-09-30T07:14:45Z,2020-03-18T10:11:24Z
"September 30, 2009, 07:14:45 UTC","March 18, 2010, 11:24 UTC","September 30, 2009, 07:14:45","March 18, 2010, 11:24",1254294885,1584526284,FALSE,2009-09-30T07:14:45Z,2020-03-18T10:11:24Z
"January 8, 1994, 10:05:34 UTC","March 22, 1995, 04:04:05 UTC","January 8, 1994, 10:05:34","March 22, 1995, 04:04:05",758023534,795845045,FALSE,1994-01-08T10:05:34Z,1995-03-22T04:04:05Z
"October 3, 1994, 22:42:30 UTC","March 22, 1995, 04:04:05 UTC","October 3, 1994, 22:42:30","March 22, 1995, 04:04:05",781224150,795845045,FALSE,1994-10-03T22:42:30Z,1995-03-22T04:04:05Z
"October 3, 1994, 22:42:30 UTC","March 22, 1995, 04:04:05 UTC","October 3, 1994, 22:42:30","March 22, 1995, 04:04:05",781224150,795845045,FALSE,1994-10-03T22:42:30Z,1995-03-22T04:04:05Z
"March 23, 1965, 14:24:00 UTC","March 23, 1965, 19:16:31 UTC","March 23, 1965, 14:24:00","March 23, 1965, 19:16:31",-150716160,-150698609,FALSE,1965-03-23T14:24:00Z,1965-03-23T19:16:31Z
"March 23, 1965, 14:24:00 UTC","March 23, 1965, 19:16:31 UTC","March 23, 1965, 14:24:00","March 23, 1965, 19:16:31",-150716160,-150698609,FALSE,1965-03-23T14:24:00Z,1965-03-23T19:16:31Z
"October 23, 2007, 15:38:19 UTC","March 27, 2008, 00:40:41 UTC","October 23, 2007, 15:38:19","March 27, 2008, 00:40:41",1193153899,1206578441,FALSE,2007-10-23T15:38:19Z,2008-03-27T00:40:41Z
"February 7, 2008, 19:45 UTC","March 27, 2008, 00:40:41 UTC","February 7, 2008, 19:45","March 27, 2008, 00:40:41",1202413500,1206578441,FALSE,2008-02-07T19:45:00Z,2008-03-27T00:40:41Z
